evento_id,videos,c_w,v_w,b_w,d_w,c_s,v_s,b_s,d_s,rd_b
AMZN_2022-01-21,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.3178567755739939
AAPL_2022-01-27,3,1.0,0.0,0.6931471805599453,0.0,2.0,0.0,1.0986122886681098,0.0,0.611068463922705
GOOG_2022-02-01,2,2.0,0.0,1.0986122886681098,0.0,1.0,0.0,0.6931471805599453,0.0,1.678682324609084
GOOGL_2022-02-01,2,2.0,0.0,1.0986122886681098,0.0,1.0,0.0,0.6931471805599453,0.0,1.4683593141741949
AAPL_2022-03-02,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.9313035242633402
GME_2022-03-17,2,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.7638889476841977
NVDA_2022-03-22,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.764393920432635
AMC_2022-03-23,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.8583599200930622
GOOG_2022-03-26,1,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0794415416798357
TWTR_2022-03-29,9,2.0,0.0,1.0986122886681098,0.0,1.0,0.0,0.6931471805599453,0.0,0.13029554661500037
NFLX_2022-04-18,1,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.15718558352241238
TSLA_2022-04-20,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.11350037386438261
GOOGL_2022-04-21,2,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.0359021603606535
GOOG_2022-04-22,2,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.0376515888784226
MSFT_2022-04-23,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.794616640724805
COIN_2022-05-09,1,0.0,1.0,-0.6931471805599453,0.0,0.0,1.0,-0.6931471805599453,0.0,0.3501380441515681
WMT_2022-05-16,3,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.13211796482737562
META_2022-06-09,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.7006191953986464
COIN_2022-06-13,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.24116205681688804
MSTR_2022-06-13,1,0.0,1.0,-0.6931471805599453,0.0,0.0,1.0,-0.6931471805599453,0.0,0.11641035184441137
DIS_2022-06-14,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.37668614355812097
TWTR_2022-07-08,1,0.0,0.0,0.0,,1.0,0.0,0.6931471805599453,0.0,0.016155440222285208
MSFT_2022-07-12,5,2.0,0.0,1.0986122886681098,0.0,2.0,0.0,1.0986122886681098,0.0,0.6525242108189321
AAPL_2022-07-18,7,1.0,0.0,0.6931471805599453,0.0,2.0,0.0,1.0986122886681098,0.0,0.17931650057818316
