escenario,replica,HR_D,lo_D,hi_D,HR_B,HR_silencio
fase: venta degradada en temprana,8,0.889215573478895,0.6658866128997651,1.1874459116606744,0.7334685821455974,2.0517138512133624
fase: venta degradada en temprana,9,0.8982422366969937,0.6699683645543755,1.2042943495146685,0.7600490049086772,2.1223952694904935
fase: venta degradada en temprana,10,0.970365815623332,0.7182747009503624,1.3109327321211137,0.7716000609631083,2.1362413008322934
fase: venta degradada en temprana,11,0.7151554655910572,0.5403082182415239,0.9465844173707147,0.7125200542571458,2.007882197659927
fase: venta degradada en temprana,12,0.842441359356707,0.6266331384000481,1.1325724741701946,0.7343646561867928,2.158953385711629
fase: venta degradada en temprana,13,0.8266312705271742,0.620183042029947,1.1018025503837858,0.7364594688154747,2.122329215681253
fase: venta degradada en temprana,14,1.0414410413462654,0.7719129186186876,1.4050800504041934,0.7727595589346555,2.1431590424630302
fase: venta degradada en temprana,15,0.9694997231117379,0.725136067625728,1.2962115044026083,0.7450534036642023,2.152470102976057
fase: venta degradada en temprana,16,0.8178086892691773,0.613648211462495,1.089893264172002,0.7418772747218616,2.1049694131914443
fase: venta degradada en temprana,17,0.7995172216035192,0.6024027687171326,1.0611302285377942,0.7014928846697622,2.02206019164167
fase: venta degradada en temprana,18,0.8409120416281576,0.6310954122129384,1.1204851882470062,0.7254696359367936,2.119319885912315
fase: venta degradada en temprana,19,0.8407353819592227,0.6229235426236551,1.134707446600973,0.7832485464026289,2.176597619338306
fase: venta degradada en temprana,20,0.9061181001145294,0.6710480555781148,1.2235338505642812,0.7377705719856814,2.070203953032024
fase: compra degradada en temprana,1,1.1937307978380376,0.904416431464832,1.5755941269212206,0.7678222043301198,2.096194638144082
fase: compra degradada en temprana,2,1.116656944136932,0.8515512603495907,1.4642955614642943,0.7362172216389579,1.9943635398008908
fase: compra degradada en temprana,3,1.2354423927171803,0.9341178410993237,1.633967191897858,0.7604245160678466,2.1859282316886164
fase: compra degradada en temprana,4,1.2691155322171308,0.957692675139064,1.6818069887408216,0.7813728992557488,2.1864080405517945
fase: compra degradada en temprana,5,1.2647055638773836,0.951272228764925,1.6814116032579658,0.788664327383197,2.1588246999212206
fase: compra degradada en temprana,6,1.194810157405701,0.9022244540490311,1.582279560073036,0.7886474981460446,2.2384320792067194
fase: compra degradada en temprana,7,1.038728034503037,0.7947421887218968,1.3576175330489473,0.6990793097915531,2.03890516822966
fase: compra degradada en temprana,8,1.5295331253202116,1.1484487719200143,2.0370709069944923,0.7903563166506602,2.27271745167473
