fecha,A,AA,AAC,AACG,AACI,AACQ,AACT,AADI,AAGR,AAIC,AAL,AAM,AAMC,AAME,AAN,AAOI,AAON,AAP,AAPL,AAQC,GME,AMC,TSLA,RDDT,NVDA,TWTR,NOK,PLTR,MSFT,AMD,BBBY,INTC,NFLX,HOOD,SPCE,SNDL,NIO,RKT,BABA
2023-10-14,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,69,0,348,61,95,0,58,0,3,17,80,10,0,11,34,39,7,0,16,1,15
2023-10-15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,218,0,273,38,316,0,87,0,6,12,54,28,0,50,48,36,6,1,12,0,6
2023-10-16,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,435,0,412,28,300,0,140,0,1,44,74,24,0,33,50,48,1,1,5,0,2
2023-10-17,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,133,0,474,23,301,0,441,0,1,34,40,21,0,24,79,47,2,3,2,0,3
2023-10-18,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,165,0,465,16,1238,0,311,0,1,12,42,21,0,10,612,56,4,1,2,1,5
2023-10-19,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,121,0,621,22,1076,0,186,0,9,6,46,17,0,10,592,90,2,0,2,0,6
2023-10-20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,602,11,698,0,173,0,4,18,68,21,0,24,133,41,2,1,4,0,8
2023-10-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,0,238,6,239,0,88,0,1,6,50,13,0,7,35,36,1,2,3,0,1
2023-10-22,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,104,0,225,11,169,0,68,0,2,13,49,8,0,18,21,37,2,1,9,0,2
2023-10-23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,112,0,386,10,403,0,227,0,1,13,148,43,0,55,44,42,2,1,7,0,6
2023-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,125,0,383,11,307,0,234,0,1,12,493,28,0,40,80,87,0,1,8,0,5
2023-10-25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,405,8,350,0,212,0,3,13,361,36,0,15,77,113,2,0,2,0,2
2023-10-26,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,312,6,507,0,265,0,3,13,175,24,0,134,77,40,4,0,1,0,4
2023-10-27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,144,0,350,26,514,0,176,0,0,27,71,26,0,54,32,26,1,0,3,0,11
2023-10-28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,82,0,231,13,122,0,29,0,0,11,36,8,0,7,10,21,1,0,2,3,2
2023-10-29,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,133,0,188,10,199,0,47,0,0,20,37,20,0,15,11,23,0,0,0,0,2
2023-10-30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,184,0,439,31,615,0,89,0,5,25,44,52,0,18,26,48,0,0,1,5,2
2023-10-31,0,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,225,0,474,21,453,0,222,0,1,11,47,342,0,15,17,45,4,0,1,1,3
2023-11-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,366,11,309,0,146,0,3,22,47,194,0,12,22,34,2,0,3,1,2
2023-11-02,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352,0,458,4,234,0,199,0,6,138,72,76,0,10,61,55,4,1,0,0,6
2023-11-03,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,471,0,345,19,349,0,186,0,3,41,69,63,0,13,32,51,6,0,2,2,22
2023-11-04,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74,0,267,27,118,0,44,0,1,20,31,29,0,10,9,42,0,0,0,0,2
2023-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,275,14,151,0,28,0,1,37,22,12,0,4,10,34,3,1,5,0,3
